Kommun	År	Pris	Hustyp	Annotering_bostadsratter
Göteborg	1996	3373	FLERBOST	kr/kvm
Göteborg	1997	4081	FLERBOST	kr/kvm
Göteborg	1998	4695	FLERBOST	kr/kvm
Göteborg	1999	6592	FLERBOST	kr/kvm
Göteborg	2000	8456	FLERBOST	kr/kvm
Göteborg	2001	9591	FLERBOST	kr/kvm
Göteborg	2002	11010	FLERBOST	kr/kvm
Göteborg	2003	13148	FLERBOST	kr/kvm
Göteborg	2004	15452	FLERBOST	kr/kvm
Göteborg	2005	18128	FLERBOST	kr/kvm
Göteborg	2006	21194	FLERBOST	kr/kvm
Göteborg	2007	23133	FLERBOST	kr/kvm
Göteborg	2008	22514	FLERBOST	kr/kvm
Göteborg	2009	23542	FLERBOST	kr/kvm
Göteborg	2010	26032	FLERBOST	kr/kvm
Göteborg	2011	26444	FLERBOST	kr/kvm
Göteborg	2012	27816	FLERBOST	kr/kvm
Göteborg	2013	30789	FLERBOST	kr/kvm
Göteborg	2014	33366	FLERBOST	kr/kvm
Göteborg	2015	40296	FLERBOST	kr/kvm
Göteborg	2016	44430	FLERBOST	kr/kvm
Göteborg	2017	48865	FLERBOST	kr/kvm
Göteborg	2018	47207	FLERBOST	kr/kvm
Göteborg	2019	47685	FLERBOST	kr/kvm
Göteborg	2020	49632	FLERBOST	kr/kvm
Göteborg	2021	52764	FLERBOST	kr/kvm
Göteborg	2022	52215	FLERBOST	kr/kvm
Göteborg	2023	49466	FLERBOST	kr/kvm
Göteborg	2024	50249	FLERBOST	kr/kvm
Malmö	1996	2950	FLERBOST	kr/kvm
Malmö	1997	3065	FLERBOST	kr/kvm
Malmö	1998	3190	FLERBOST	kr/kvm
Malmö	1999	4213	FLERBOST	kr/kvm
Malmö	2000	5862	FLERBOST	kr/kvm
Malmö	2001	5636	FLERBOST	kr/kvm
Malmö	2002	6458	FLERBOST	kr/kvm
Malmö	2003	8342	FLERBOST	kr/kvm
Malmö	2004	10285	FLERBOST	kr/kvm
Malmö	2005	12422	FLERBOST	kr/kvm
Malmö	2006	15210	FLERBOST	kr/kvm
Malmö	2007	18280	FLERBOST	kr/kvm
Malmö	2008	16637	FLERBOST	kr/kvm
Malmö	2009	17603	FLERBOST	kr/kvm
Malmö	2010	19093	FLERBOST	kr/kvm
Malmö	2011	17923	FLERBOST	kr/kvm
Malmö	2012	17927	FLERBOST	kr/kvm
Malmö	2013	18761	FLERBOST	kr/kvm
Malmö	2014	19998	FLERBOST	kr/kvm
Malmö	2015	22074	FLERBOST	kr/kvm
Malmö	2016	25132	FLERBOST	kr/kvm
Malmö	2017	28344	FLERBOST	kr/kvm
Malmö	2018	27508	FLERBOST	kr/kvm
Malmö	2019	29329	FLERBOST	kr/kvm
Malmö	2020	30891	FLERBOST	kr/kvm
Malmö	2021	34970	FLERBOST	kr/kvm
Malmö	2022	35570	FLERBOST	kr/kvm
Malmö	2023	33604	FLERBOST	kr/kvm
Malmö	2024	35029	FLERBOST	kr/kvm
Stockholm	1996	11124	FLERBOST	kr/kvm
Stockholm	1997	12818	FLERBOST	kr/kvm
Stockholm	1998	15767	FLERBOST	kr/kvm
Stockholm	1999	19686	FLERBOST	kr/kvm
Stockholm	2000	23794	FLERBOST	kr/kvm
Stockholm	2001	24748	FLERBOST	kr/kvm
Stockholm	2002	26021	FLERBOST	kr/kvm
Stockholm	2003	24585	FLERBOST	kr/kvm
Stockholm	2004	25804	FLERBOST	kr/kvm
Stockholm	2005	30412	FLERBOST	kr/kvm
Stockholm	2006	36372	FLERBOST	kr/kvm
Stockholm	2007	41706	FLERBOST	kr/kvm
Stockholm	2008	39001	FLERBOST	kr/kvm
Stockholm	2009	39969	FLERBOST	kr/kvm
Stockholm	2010	43698	FLERBOST	kr/kvm
Stockholm	2011	44764	FLERBOST	kr/kvm
Stockholm	2012	45693	FLERBOST	kr/kvm
Stockholm	2013	50236	FLERBOST	kr/kvm
Stockholm	2014	55873	FLERBOST	kr/kvm
Stockholm	2015	66513	FLERBOST	kr/kvm
Stockholm	2016	71413	FLERBOST	kr/kvm
Stockholm	2017	73031	FLERBOST	kr/kvm
Stockholm	2018	69405	FLERBOST	kr/kvm
Stockholm	2019	71131	FLERBOST	kr/kvm
Stockholm	2020	75842	FLERBOST	kr/kvm
Stockholm	2021	81905	FLERBOST	kr/kvm
Stockholm	2022	82059	FLERBOST	kr/kvm
Stockholm	2023	80850	FLERBOST	kr/kvm
Stockholm	2024	84246	FLERBOST	kr/kvm
