Kommun	År	Pris	Hustyp	Annotering_smahus_pris
Stockholm	1981	378000	SMÅHUS	medelärde i kr
Stockholm	1982	375000	SMÅHUS	medelärde i kr
Stockholm	1983	380000	SMÅHUS	medelärde i kr
Stockholm	1984	377000	SMÅHUS	medelärde i kr
Stockholm	1985	376000	SMÅHUS	medelärde i kr
Stockholm	1986	380000	SMÅHUS	medelärde i kr
Stockholm	1987	380000	SMÅHUS	medelärde i kr
Stockholm	1988	387000	SMÅHUS	medelärde i kr
Stockholm	1989	385000	SMÅHUS	medelärde i kr
Stockholm	1990	764000	SMÅHUS	medelärde i kr
Stockholm	1991	774000	SMÅHUS	medelärde i kr
Stockholm	1992	771000	SMÅHUS	medelärde i kr
Stockholm	1993	799000	SMÅHUS	medelärde i kr
Stockholm	1994	800000	SMÅHUS	medelärde i kr
Stockholm	1995	792000	SMÅHUS	medelärde i kr
Stockholm	1996	848000	SMÅHUS	medelärde i kr
Stockholm	1997	862000	SMÅHUS	medelärde i kr
Stockholm	1998	842000	SMÅHUS	medelärde i kr
Stockholm	1999	845000	SMÅHUS	medelärde i kr
Stockholm	2000	839000	SMÅHUS	medelärde i kr
Stockholm	2001	830000	SMÅHUS	medelärde i kr
Stockholm	2002	854000	SMÅHUS	medelärde i kr
Stockholm	2003	1962000	SMÅHUS	medelärde i kr
Stockholm	2004	1930000	SMÅHUS	medelärde i kr
Stockholm	2005	1901000	SMÅHUS	medelärde i kr
Stockholm	2006	2148000	SMÅHUS	medelärde i kr
Stockholm	2007	2111000	SMÅHUS	medelärde i kr
Stockholm	2008	2055000	SMÅHUS	medelärde i kr
Stockholm	2009	3120000	SMÅHUS	medelärde i kr
Stockholm	2010	2978000	SMÅHUS	medelärde i kr
Stockholm	2011	2899000	SMÅHUS	medelärde i kr
Stockholm	2012	3328000	SMÅHUS	medelärde i kr
Stockholm	2013	3530000	SMÅHUS	medelärde i kr
Stockholm	2014	3449000	SMÅHUS	medelärde i kr
Stockholm	2015	3784000	SMÅHUS	medelärde i kr
Stockholm	2016	3623000	SMÅHUS	medelärde i kr
Stockholm	2017	3753000	SMÅHUS	medelärde i kr
Stockholm	2018	5479000	SMÅHUS	medelärde i kr
Stockholm	2019	5449000	SMÅHUS	medelärde i kr
Stockholm	2020	5326000	SMÅHUS	medelärde i kr
Stockholm	2021	5137000	SMÅHUS	medelärde i kr
Stockholm	2022	4934000	SMÅHUS	medelärde i kr
Stockholm	2023	5203000	SMÅHUS	medelärde i kr
Stockholm	2024	6973000	SMÅHUS	medelärde i kr
Malmö	1981	314000	SMÅHUS	medelärde i kr
Malmö	1982	318000	SMÅHUS	medelärde i kr
Malmö	1983	309000	SMÅHUS	medelärde i kr
Malmö	1984	323000	SMÅHUS	medelärde i kr
Malmö	1985	317000	SMÅHUS	medelärde i kr
Malmö	1986	312000	SMÅHUS	medelärde i kr
Malmö	1987	307000	SMÅHUS	medelärde i kr
Malmö	1988	309000	SMÅHUS	medelärde i kr
Malmö	1989	311000	SMÅHUS	medelärde i kr
Malmö	1990	510000	SMÅHUS	medelärde i kr
Malmö	1991	529000	SMÅHUS	medelärde i kr
Malmö	1992	547000	SMÅHUS	medelärde i kr
Malmö	1993	562000	SMÅHUS	medelärde i kr
Malmö	1994	552000	SMÅHUS	medelärde i kr
Malmö	1995	534000	SMÅHUS	medelärde i kr
Malmö	1996	688000	SMÅHUS	medelärde i kr
Malmö	1997	720000	SMÅHUS	medelärde i kr
Malmö	1998	700000	SMÅHUS	medelärde i kr
Malmö	1999	677000	SMÅHUS	medelärde i kr
Malmö	2000	659000	SMÅHUS	medelärde i kr
Malmö	2001	711000	SMÅHUS	medelärde i kr
Malmö	2002	687000	SMÅHUS	medelärde i kr
Malmö	2003	1358000	SMÅHUS	medelärde i kr
Malmö	2004	1291000	SMÅHUS	medelärde i kr
Malmö	2005	1312000	SMÅHUS	medelärde i kr
Malmö	2006	1729000	SMÅHUS	medelärde i kr
Malmö	2007	1701000	SMÅHUS	medelärde i kr
Malmö	2008	1680000	SMÅHUS	medelärde i kr
Malmö	2009	2414000	SMÅHUS	medelärde i kr
Malmö	2010	2401000	SMÅHUS	medelärde i kr
Malmö	2011	2435000	SMÅHUS	medelärde i kr
Malmö	2012	2538000	SMÅHUS	medelärde i kr
Malmö	2013	2568000	SMÅHUS	medelärde i kr
Malmö	2014	2567000	SMÅHUS	medelärde i kr
Malmö	2015	2549000	SMÅHUS	medelärde i kr
