Kommun	År	Hustyp	Antal
Stockholm	1990	SMÅHUS	40081
Stockholm	1991	SMÅHUS	40195
Stockholm	1992	SMÅHUS	40270
Stockholm	1993	SMÅHUS	40374
Stockholm	1994	SMÅHUS	40413
Stockholm	1995	SMÅHUS	40549
Stockholm	1996	SMÅHUS	40601
Stockholm	1997	SMÅHUS	40715
Stockholm	1998	SMÅHUS	40876
Stockholm	1999	SMÅHUS	41058
Stockholm	2000	SMÅHUS	41156
Stockholm	2001	SMÅHUS	41291
Stockholm	2002	SMÅHUS	41412
Stockholm	2003	SMÅHUS	41519
Stockholm	2004	SMÅHUS	41646
Stockholm	2005	SMÅHUS	41740
Stockholm	2006	SMÅHUS	41817
Stockholm	2007	SMÅHUS	41947
Stockholm	2008	SMÅHUS	42270
Stockholm	2009	SMÅHUS	42435
Stockholm	2010	SMÅHUS	42635
Stockholm	2011	SMÅHUS	42788
Stockholm	2012	SMÅHUS	42955
Stockholm	2013	SMÅHUS	43137
Stockholm	2014	SMÅHUS	43296
Stockholm	2015	SMÅHUS	43429
Stockholm	2016	SMÅHUS	43835
Stockholm	2017	SMÅHUS	44063
Stockholm	2018	SMÅHUS	44239
Stockholm	2019	SMÅHUS	44277
Stockholm	2020	SMÅHUS	44390
Stockholm	2021	SMÅHUS	44363
Stockholm	2022	SMÅHUS	44605
Stockholm	2023	SMÅHUS	44585
Stockholm	2024	SMÅHUS	44666
Stockholm	1990	FLERBOST	84432
Stockholm	1991	FLERBOST	84701
Stockholm	1992	FLERBOST	85793
Stockholm	1993	FLERBOST	87295
Stockholm	1994	FLERBOST	89194
Stockholm	1995	FLERBOST	89897
Stockholm	1996	FLERBOST	91223
Stockholm	1997	FLERBOST	93556
Stockholm	1998	FLERBOST	96252
Stockholm	1999	FLERBOST	102374
Stockholm	2000	FLERBOST	112124
Stockholm	2001	FLERBOST	125192
Stockholm	2002	FLERBOST	134062
Stockholm	2003	FLERBOST	143259
Stockholm	2004	FLERBOST	149664
Stockholm	2005	FLERBOST	153076
Stockholm	2006	FLERBOST	157450
Stockholm	2007	FLERBOST	164774
Stockholm	2008	FLERBOST	175173
Stockholm	2009	FLERBOST	185190
Stockholm	2010	FLERBOST	197266
Stockholm	2011	FLERBOST	201520
